"Code","Country","State","Zip/Post Code","Rate","Zip/Post is Range","Range From","Range To","default"
"US-CA-91714","US","CA","91714","10.2500","","","",""
"US-CA-91715","US","CA","91715","9.5000","","","",""
"US-CA-91716","US","CA","91716","9.5000","","","",""
"US-CA-91722","US","CA","91722","10.2500","","","",""
"US-CA-91723","US","CA","91723","10.2500","","","",""
"US-CA-91724","US","CA","91724","10.2500","","","",""
"US-CA-91729","US","CA","91729","7.7500","","","",""
"US-CA-91730","US","CA","91730","7.7500","","","",""
"US-CA-91731","US","CA","91731","10.0000","","","",""
"US-CA-91732","US","CA","91732","10.2500","","","",""
"US-CA-91733","US","CA","91733","10.2500","","","",""
"US-CA-91734","US","CA","91734","10.0000","","","",""
"US-CA-91735","US","CA","91735","10.0000","","","",""
"US-CA-91737","US","CA","91737","7.7500","","","",""
"US-CA-91739","US","CA","91739","7.7500","","","",""
"US-CA-91740","US","CA","91740","10.2500","","","",""
"US-CA-91741","US","CA","91741","10.2500","","","",""
"US-CA-91743","US","CA","91743","7.7500","","","",""
"US-CA-91744","US","CA","91744","10.0000","","","",""
"US-CA-91745","US","CA","91745","10.2500","","","",""
"US-CA-91746","US","CA","91746","10.0000","","","",""
"US-CA-91747","US","CA","91747","10.0000","","","",""
"US-CA-91748","US","CA","91748","9.5000","","","",""
"US-CA-91749","US","CA","91749","9.5000","","","",""
"US-CA-91750","US","CA","91750","10.2500","","","",""
"US-CA-91752","US","CA","91752","8.7500","","","",""
"US-CA-91754","US","CA","91754","9.5000","","","",""
"US-CA-91755","US","CA","91755","9.5000","","","",""
"US-CA-91756","US","CA","91756","9.5000","","","",""
"US-CA-91758","US","CA","91758","7.7500","","","",""
"US-CA-91759","US","CA","91759","9.5000","","","",""
"US-CA-91761","US","CA","91761","7.7500","","","",""
"US-CA-91762","US","CA","91762","8.0000","","","",""
"US-CA-91763","US","CA","91763","8.0000","","","",""
"US-CA-91764","US","CA","91764","7.7500","","","",""
