entity_id,name,store_view,store_name,image,url_path,available_sort_by,breadcrumbs_priority,category_seo_name,category_sort_no,custom_apply_to_products,custom_design,custom_design_from,custom_design_to,custom_layout_update,custom_layout_update_file,custom_use_parent_settings,default_sort_by,description,display_mode,filter_price_range,include_in_menu,in_html_sitemap,in_xml_sitemap,is_active,is_anchor,is_popular,landing_page,meta_description,meta_keywords,meta_robots,meta_title,page_layout,path,path_in_store,position,redirect_priority,thumbnail,url_key,use_in_crosslinking
50,"Default Category/Products/Containers / Overloads/Lorem Ipsum",default,,,products/containers-overloads/lorem-ipsum,,,,,No,,,,,,No,,,"Products only",,No,Yes,Yes,Yes,Yes,No,,,,,,,1/2/3/47/50,,3,,,lorem-ipsum,Yes
50,"Default Category/Products/Containers / Overloads/Lorem Ipsum",admin,,,products/containers-overloads/lorem-ipsum,,,,,No,,,,,,No,,,"Products only",,No,Yes,Yes,Yes,Yes,No,,,,,,,1/2/3/47/50,,3,,,lorem-ipsum,Yes
51,"Default Category/Products/Circuit Breakers/Plain Air Circuit Breaker/Plain Air Circuit5",default,,,products/circuit-breakers/plain-air-circuit-breaker/plain-air-circuit5,,0,,,No,,,,,,No,,,"Products only",,Yes,Yes,Yes,Yes,Yes,No,,,,,,,1/2/3/9/14/51,,7,0,,plain-air-circuit5,Yes
51,"Default Category/Products/Circuit Breakers/Plain Air Circuit Breaker/Plain Air Circuit5",admin,,,products/circuit-breakers/plain-air-circuit-breaker/plain-air-circuit5,,0,,,No,,,,,,No,,,"Products only",,Yes,Yes,Yes,Yes,Yes,No,,,,,,,1/2/3/9/14/51,,7,0,,plain-air-circuit5,Yes
53,"Default Category/Products/Circuit Breakers/Plain Air Circuit Breaker/Plain Air Circuit7",default,,,products/circuit-breakers/plain-air-circuit-breaker/plain-air-circuit7,,,,,No,,,,,,No,,,"Products only",,Yes,Yes,Yes,Yes,Yes,No,,,,,,,1/2/3/9/14/53,,4,,,plain-air-circuit7,Yes
53,"Default Category/Products/Circuit Breakers/Plain Air Circuit Breaker/Plain Air Circuit7",admin,,,products/circuit-breakers/plain-air-circuit-breaker/plain-air-circuit7,,,,,No,,,,,,No,,,"Products only",,Yes,Yes,Yes,Yes,Yes,No,,,,,,,1/2/3/9/14/53,,4,,,plain-air-circuit7,Yes
54,"Default Category/Products/Circuit Breakers/Plain Air Circuit Breaker/Plain Air Circuit6",default,,,products/circuit-breakers/plain-air-circuit-breaker/plain-air-circuit6,,0,,,No,,,,,,No,,,"Products only",,Yes,Yes,Yes,Yes,Yes,No,,,,,,,1/2/3/9/14/54,,8,0,,plain-air-circuit6,Yes
54,"Default Category/Products/Circuit Breakers/Plain Air Circuit Breaker/Plain Air Circuit6",admin,,,products/circuit-breakers/plain-air-circuit-breaker/plain-air-circuit6,,0,,,No,,,,,,No,,,"Products only",,Yes,Yes,Yes,Yes,Yes,No,,,,,,,1/2/3/9/14/54,,8,0,,plain-air-circuit6,Yes
55,"Default Category/Products/Circuit Breakers/Plain Air Circuit Breaker/Plain Air Circuit1/Plain Air Circuit1.1",default,,https://c14fcb143e.nxcli.net/media/catalog/category/Categories_4_1.png,products/circuit-breakers/plain-air-circuit-breaker/plain-air-circuit1/plain-air-circuit1-1,,0,,,No,,,,,,No,,,"Products only",,Yes,Yes,Yes,Yes,Yes,No,,,,,,,1/2/3/9/14/35/55,,1,0,,plain-air-circuit1-1,Yes
55,"Default Category/Products/Circuit Breakers/Plain Air Circuit Breaker/Plain Air Circuit1/Plain Air Circuit1.1",admin,,https://c14fcb143e.nxcli.net/media/catalog/category/Categories_4_1.png,products/circuit-breakers/plain-air-circuit-breaker/plain-air-circuit1/plain-air-circuit1-1,,0,,,No,,,,,,No,,,"Products only",,Yes,Yes,Yes,Yes,Yes,No,,,,,,,1/2/3/9/14/35/55,,1,0,,plain-air-circuit1-1,Yes
56,"Default Category/Products/Circuit Breakers/Plain Air Circuit Breaker/Plain Air Circuit1/Plain Air Circuit1.2",default,,,products/circuit-breakers/plain-air-circuit-breaker/plain-air-circuit1/plain-air-circuit1-2,,0,,,No,,,,,,No,,,"Products only",,Yes,Yes,Yes,Yes,Yes,No,,,,,,,1/2/3/9/14/35/56,,2,0,,plain-air-circuit1-2,Yes
56,"Default Category/Products/Circuit Breakers/Plain Air Circuit Breaker/Plain Air Circuit1/Plain Air Circuit1.2",admin,,,products/circuit-breakers/plain-air-circuit-breaker/plain-air-circuit1/plain-air-circuit1-2,,0,,,No,,,,,,No,,,"Products only",,Yes,Yes,Yes,Yes,Yes,No,,,,,,,1/2/3/9/14/35/56,,2,0,,plain-air-circuit1-2,Yes
57,"Default Category/Products/Circuit Breakers/Axial Blas CB/Axial Blas CB A ",default,,,products/circuit-breakers/axial-blas-cb/axial-blas-cb-a,,0,,,No,,,,,,No,,,"Products only",,Yes,Yes,Yes,Yes,Yes,No,,,,,,,1/2/3/9/15/57,,1,0,,axial-blas-cb-a,Yes
57,"Default Category/Products/Circuit Breakers/Axial Blas CB/Axial Blas CB A ",admin,,,products/circuit-breakers/axial-blas-cb/axial-blas-cb-a,,0,,,No,,,,,,No,,,"Products only",,Yes,Yes,Yes,Yes,Yes,No,,,,,,,1/2/3/9/15/57,,1,0,,axial-blas-cb-a,Yes
58,"Default Category/Products/Circuit Breakers/Axial Blas CB/Axial Blas CB B",default,,,products/circuit-breakers/axial-blas-cb/axial-blas-cb-b,,,,,No,,,,,,No,,,"Products only",,Yes,Yes,Yes,Yes,Yes,No,,,,,,,1/2/3/9/15/58,,2,,,axial-blas-cb-b,Yes
58,"Default Category/Products/Circuit Breakers/Axial Blas CB/Axial Blas CB B",admin,,,products/circuit-breakers/axial-blas-cb/axial-blas-cb-b,,,,,No,,,,,,No,,,"Products only",,Yes,Yes,Yes,Yes,Yes,No,,,,,,,1/2/3/9/15/58,,2,,,axial-blas-cb-b,Yes
59,"Default Category/Products/HVAC",default,,,products/hvac,,0,,,No,,,,,,No,,,"Static block only",,Yes,Yes,Yes,Yes,Yes,No,"Cis Subcategory",,,,,"1 column",1/2/3/59,,7,0,,hvac,Yes
59,"Default Category/Products/HVAC",admin,,,products/hvac,,0,,,No,,,,,,No,,,"Static block only",,Yes,Yes,Yes,Yes,Yes,No,"Cis Subcategory",,,,,"1 column",1/2/3/59,,7,0,,hvac,Yes
61,"Default Category/Products/HVAC/Room Thermostats",default,,,products/hvac/room-thermostats,,0,,,No,,,,,,No,,,"Products only",,Yes,Yes,Yes,Yes,Yes,No,,,,,,,1/2/3/59/61,,1,0,,room-thermostats,Yes
61,"Default Category/Products/HVAC/Room Thermostats",admin,,,products/hvac/room-thermostats,,0,,,No,,,,,,No,,,"Products only",,Yes,Yes,Yes,Yes,Yes,No,,,,,,,1/2/3/59/61,,1,0,,room-thermostats,Yes
62,"Default Category/Products/HVAC/Thermostats",default,,,products/hvac/thermostats,,0,,,No,,,,,,No,,,"Products only",,Yes,Yes,Yes,Yes,Yes,No,,,,,,,1/2/3/59/62,,2,0,,thermostats,Yes
62,"Default Category/Products/HVAC/Thermostats",admin,,,products/hvac/thermostats,,0,,,No,,,,,,No,,,"Products only",,Yes,Yes,Yes,Yes,Yes,No,,,,,,,1/2/3/59/62,,2,0,,thermostats,Yes
63,"Default Category/Products/HVAC/HVAC Pressure Switches",default,,,products/hvac/hvac-pressure-switches,,0,,,No,,,,,,No,,,"Products only",,Yes,Yes,Yes,Yes,Yes,No,,,,,,,1/2/3/59/63,,3,0,,hvac-pressure-switches,Yes
